detector,model,provider,tpr,fpr,n_clean,n_violation,experiments,study
hallucination,gpt-5.6-luna,openai,0.76,0.0,100,100,018,basanos-3
hallucination,gpt-5.6-terra,openai,0.84,0.0,100,100,019,basanos-3
hallucination,claude-haiku-4-5-20251001,anthropic,0.97,0.0,100,100,020,basanos-3
sycophantic_gap_fill,gpt-5.6-luna,openai,0.915,0.0,200,200,021+032,basanos-3
sycophantic_gap_fill,gpt-5.6-terra,openai,0.89,0.01,100,100,022,basanos-3
sycophantic_gap_fill,claude-haiku-4-5-20251001,anthropic,0.41,0.0,100,100,023,basanos-3
confidence_collapse,gpt-5.6-luna,openai,1.0,0.0,100,100,025,basanos-3
confidence_collapse,gpt-5.6-terra,openai,1.0,0.0,100,100,031,basanos-3
confidence_collapse,claude-haiku-4-5-20251001,anthropic,1.0,0.0,100,100,026,basanos-3
context_degradation,gpt-5.6-luna,openai,1.0,0.0,100,100,027,basanos-3
context_degradation,gpt-5.6-terra,openai,1.0,0.0,100,100,028,basanos-3
context_degradation,claude-haiku-4-5-20251001,anthropic,1.0,0.0,100,100,029,basanos-3
